Empresa;Precio Actual;Precio Objetivo;PER Promedio;EPS Promedio;Diff
CWEN;28,54000092;53,19107927;46,6998062;1,34;
CXT;55,24000168;39,57871081;14,22070229;3,274324167;-28%
D;54,84999847;61,18718285;26,0682512;2,761402;12%
DAL;51,13999939;110,5929854;37,28062883;3,49;
DAR;35,50999832;47,19208516;16,53203976;3,358333333;33%
DBX;29,29000092;23,85795795;22,63563373;1,24;-19%
DCI;70,37000275;55,49071813;22,84226655;2,858;-21%
DD;71,26999664;120,6707889;42,02238797;3,378333333;
DDS;395,730011;324,9104324;8,808997441;43,39285714;-18%
DE;495,6199951;342,4440726;16,74577262;24,05833333;-31%
DECK;126,0800018;65,74877488;23,5755881;3,2809998;-48%
DELL;103,4199982;60,19001785;12,84054086;5,514704286;-42%
DFS;202,4700012;113,424216;8,281356277;16,11333333;-44%
DG;89,48999786;169,4387836;19,86444897;10,035;89%
DGX;175,8999939;145,4160041;16,30605101;10,49166667;-17%
DHI;126,1399994;102,1011063;8,220756145;14,61166667;-19%
DHR;200,8300018;222,3107984;35,3117168;7,406666667;
DINO;35,40000153;78,82318291;17,85046321;5,195;123%
DIS;110,4899979;105,5367376;65,98451786;1,881666667;
DKS;212,4199982;107,9900009;9,249876944;13,735;-49%
DLB;77,72000122;65,41260802;32,22163689;2,388333333;
DLR;166;183,5269504;66,0961406;3,266666667;
DOC;17,54999924;24,28163427;42,21669244;0,676666667;
DOCS;61,04000092;30,29181599;51,64845011;0,69;
DOV;183,5899963;169,7282061;17,16203202;11,635;-8%
DOW;30,97999954;89,01736221;23,13541424;4,526666667;187%
DOX;92,30000305;70,88609905;18,28846725;4,56;-23%
DPZ;482,1099854;379,7833435;32,7935683;13,6247428;
DRI;203,8500061;123,4366713;19,38415306;7,491666667;-39%
DT;50,47999954;44,23735465;149,5515708;0,348;
DTE;133,1000061;103,4956892;20,7426975;5,87;-22%
DTM;100,1699982;43,71568031;14,54885775;3,535;-56%
DUK;115,8499985;92,43482417;23,16226879;4,695;-20%
DV;14,26000023;25,28878782;102,0051946;0,291666667;
